zip_code,latitude,longitude
78701,30.2713,-97.7426
78702,30.2638,-97.7166
78703,30.2907,-97.7648
78704,30.2428,-97.7658
78705,30.2896,-97.7396
78712,30.2852,-97.7354
78717,30.506,-97.7472
78719,30.1802,-97.6667
78721,30.2721,-97.6868
78722,30.2893,-97.715
78723,30.3085,-97.6849
78724,30.296,-97.6396
78725,30.2562,-97.6243
78726,30.43,-97.8326
78727,30.4254,-97.7195
78728,30.4417,-97.6811
78729,30.4521,-97.7688
78730,30.3607,-97.8241
78731,30.3471,-97.7609
78732,30.3752,-97.9007
78733,30.3314,-97.8666
78734,30.3705,-97.9427
78735,30.249,-97.8414
78736,30.2444,-97.916
78737,30.2107,-97.9427
78738,30.3337,-97.9824
78739,30.172,-97.8784
78741,30.2315,-97.7223
78742,30.2313,-97.6703
78744,30.1876,-97.7472
78745,30.2063,-97.7956
78746,30.2971,-97.8181
78747,30.1204,-97.7433
78748,30.1743,-97.8225
78749,30.2166,-97.8508
78750,30.4224,-97.7967
78751,30.3093,-97.7242
78752,30.3316,-97.7004
78753,30.3648,-97.6827
78754,30.3423,-97.6673
78756,30.3223,-97.739
78757,30.3437,-97.7316
78758,30.3764,-97.7078
78759,30.4036,-97.7526
